Created	Modified	Last opened	Application Bundle ID	Path	Filename	Hidden extension	Size in bytes	Size	From Device Name	Shared?	Visible?	Recently Deleted
2022-01-21 20:25:40+00:00	2022-01-21 20:25:40+00:00		com.apple.TextInput	Documents/		No				No	No	No
2022-01-21 20:25:41+00:00	2022-01-21 20:25:41+00:00		com.apple.shoebox	Documents/		No				No	No	No
2022-01-21 20:25:44+00:00	2022-01-21 20:25:46+00:00		com.apple.shoebox	UbiquitousCards/		No				No	No	No
2022-01-21 20:25:41+00:00	2022-01-21 20:25:41+00:00		iCloud.com.apple.mobilesafari	Documents/		No				No	No	No
2022-01-21 20:25:45+00:00	2022-01-21 20:25:45+00:00		com.apple.iBooks.cloudData	Documents/		No				No	No	No
2022-01-21 20:25:47+00:00	2022-01-21 20:25:47+00:00		iCloud.com.apple.iBooks.iTunesU	Documents/		No				No	No	No
2022-01-21 20:25:48+00:00	2022-01-21 20:25:48+00:00		com.apple.SafariShared.History	Documents/		No				No	No	No
2022-01-21 20:25:48+00:00	2022-01-21 20:25:48+00:00		iCloud.com.apple.passd	Documents/		No				No	No	No
2022-01-21 20:25:49+00:00	2022-01-21 20:25:49+00:00		com.apple.mobilemail	Documents/		No				No	No	No
2022-01-21 20:25:49+00:00	2022-01-21 20:25:49+00:00		iCloud.com.apple.DocumentsApp	Documents/		No				No	No	No
2022-01-21 20:25:50+00:00	2022-01-21 20:25:50+00:00		iCloud.com.apple.shortcuts.runtime	Documents/		No				No	No	No
2022-01-21 20:25:50+00:00	2022-01-21 20:25:50+00:00		iCloud.is.workflow.my.workflows	Documents/		No				No	Yes	No
2022-01-21 20:25:51+00:00	2022-01-21 20:25:51+00:00		iCloud.com.apple.iBooks	Documents/		No				No	No	No
2022-01-21 21:14:06+00:00	2022-01-21 21:14:06+00:00		iCloud.com.wearezeta.zclient.ios	Documents/		No				No	No	No
2022-01-21 21:18:00+00:00	2022-01-21 21:18:00+00:00		iCloud.com.gma.water.sort.puzzle.cloud.save	Documents/		No				No	No	No
