Property	Property Value
steadinessClassificationNextClassificationTime	0.0
Last System Version	iPhone OS15.0.2/19A404
CLSilo.Version	1
VO2MaxCloudKitLastForcedFetch	2022-02-14 16:49:46+00:00
ObsoleteDataDeleted	True
OscarStepCounting	True
kP6MWDNextEstimateTime	2022-02-21 16:35:54+00:00
Location Services Enabled	True
