Start Time	End Time	Time Added	Device Screen Status
2022-01-21 20:14:04+00:00	2022-01-21 20:14:40+00:00	2022-01-21 20:14:42+00:00	Backlight off
2022-01-21 20:14:40+00:00	2022-01-21 20:14:52+00:00	2022-01-21 20:14:52+00:00	Backlight on
2022-01-21 20:14:52+00:00	2022-01-21 20:15:00+00:00	2022-01-21 20:15:01+00:00	Backlight off
2022-01-21 20:15:00+00:00	2022-01-21 20:48:24+00:00	2022-01-21 20:48:26+00:00	Backlight on
2022-01-21 20:48:24+00:00	2022-01-21 21:00:32+00:00	2022-01-21 21:00:33+00:00	Backlight off
2022-01-21 21:00:32+00:00	2022-01-21 21:00:32+00:00	2022-01-21 21:00:34+00:00	Backlight on
2022-01-21 21:00:32+00:00	2022-01-21 21:00:32+00:00	2022-01-21 21:00:34+00:00	Backlight off
2022-01-21 21:00:32+00:00	2022-01-21 21:00:36+00:00	2022-01-21 21:00:36+00:00	Backlight on
2022-01-21 21:00:36+00:00	2022-01-21 21:00:36+00:00	2022-01-21 21:00:36+00:00	Backlight off
2022-01-21 21:00:36+00:00	2022-01-21 21:00:40+00:00	2022-01-21 21:00:40+00:00	Backlight on
2022-01-21 21:00:40+00:00	2022-01-21 21:12:48+00:00	2022-01-21 21:12:49+00:00	Backlight off
2022-01-21 21:12:48+00:00	2022-01-21 21:12:56+00:00	2022-01-21 21:12:59+00:00	Backlight on
2022-01-21 21:12:56+00:00	2022-01-21 21:13:04+00:00	2022-01-21 21:13:05+00:00	Backlight off
2022-01-21 21:13:04+00:00	2022-01-21 22:23:12+00:00	2022-01-21 22:23:14+00:00	Backlight on
2022-01-21 22:23:12+00:00	2022-01-21 22:28:20+00:00	2022-01-21 22:28:22+00:00	Backlight off
2022-01-21 22:28:20+00:00	2022-01-21 22:28:32+00:00	2022-01-21 22:28:33+00:00	Backlight on
2022-01-21 22:28:32+00:00	2022-01-21 23:49:36+00:00	2022-01-21 23:49:38+00:00	Backlight off
2022-01-21 23:49:36+00:00	2022-01-21 23:49:36+00:00	2022-01-21 23:49:39+00:00	Backlight on
2022-01-21 23:49:36+00:00	2022-01-21 23:49:52+00:00	2022-01-21 23:49:53+00:00	Backlight off
2022-01-21 23:49:52+00:00	2022-01-21 23:49:52+00:00	2022-01-21 23:49:55+00:00	Backlight on
2022-01-21 23:49:52+00:00	2022-01-21 23:50:36+00:00	2022-01-21 23:50:38+00:00	Backlight off
2022-01-21 23:50:36+00:00	2022-01-21 23:50:36+00:00	2022-01-21 23:50:39+00:00	Backlight on
2022-01-21 23:50:36+00:00	2022-01-22 00:21:00+00:00	2022-01-22 00:21:01+00:00	Backlight off
2022-01-22 00:21:00+00:00	2022-01-22 00:21:00+00:00	2022-01-22 00:21:03+00:00	Backlight on
2022-01-22 00:21:00+00:00	2022-01-25 16:20:40+00:00	2022-01-25 16:20:42+00:00	Backlight off
2022-01-25 16:20:40+00:00	2022-01-25 16:20:40+00:00	2022-01-25 16:20:43+00:00	Backlight on
2022-01-25 16:20:40+00:00	2022-01-25 16:20:44+00:00	2022-01-25 16:20:45+00:00	Backlight off
2022-01-25 16:20:44+00:00	2022-01-25 16:20:52+00:00	2022-01-25 16:20:52+00:00	Backlight on
