Property	Property Value
SystemImageID	90B19FE1-A01D-4BA2-BB1A-B6EBD6B19EBF
Version	Version
ProductVersion	15.0.2
BuildID	239D3DCA-2713-11EC-9C98-70E2489C1635
ProductBuildVersion	19A404
ProductCopyright	1983-2021 Apple Inc.
Build	Build
ProductName	iPhone OS
FullVersionString	Version 15.0.2 (Build 19A404)
