Timestamp	AppSessionStartDate	AppSessionEndDate	Type	Latitude	Longitude	Location	Previous Location	ID
2022-01-15 14:12:07+00:00	2022-01-15 14:11:21+00:00	2022-01-15 14:13:08+00:00	NSUA_com.apple.Maps					1
2022-01-15 14:26:02+00:00	2022-01-15 14:13:12+00:00	2022-01-15 14:26:20+00:00	NSUA_com.apple.Maps					2
2022-01-15 14:26:02+00:00	2022-01-15 14:13:12+00:00	2022-01-15 14:26:20+00:00	NSUA_com.apple.Maps					3
2022-01-15 14:26:02+00:00	2022-01-15 14:13:12+00:00	2022-01-15 14:26:20+00:00	NSUA_com.apple.Maps					4
2022-01-15 14:26:04+00:00	2022-01-15 14:13:12+00:00	2022-01-15 14:26:20+00:00	NSUA_com.apple.Maps					5
2022-01-15 14:26:04+00:00	2022-01-15 14:13:12+00:00	2022-01-15 14:26:20+00:00	NSUA_com.apple.Maps					6
2022-01-15 14:49:22+00:00	2022-01-15 14:49:00+00:00	2022-01-15 14:50:13+00:00	NSUA_NSUserActivityTypeBrowsingWeb					7
2022-01-15 14:50:01+00:00	2022-01-15 14:49:00+00:00	2022-01-15 14:50:13+00:00	NSUA_NSUserActivityTypeBrowsingWeb					8
2022-01-15 14:50:11+00:00	2022-01-15 14:49:00+00:00	2022-01-15 14:50:13+00:00	NSUA_NSUserActivityTypeBrowsingWeb					9
2022-01-15 14:50:39+00:00	2022-01-15 14:50:39+00:00	2022-01-15 14:55:59+00:00	NSUA_com.apple.Maps					10
2022-01-15 14:50:49+00:00	2022-01-15 14:50:39+00:00	2022-01-15 14:55:59+00:00	NSUA_com.apple.Maps					11
2022-01-15 14:50:49+00:00	2022-01-15 14:50:39+00:00	2022-01-15 14:55:59+00:00	NSUA_com.apple.Maps					12
2022-01-15 14:50:49+00:00	2022-01-15 14:50:39+00:00	2022-01-15 14:55:59+00:00	NSUA_com.apple.Maps					13
2022-01-15 14:50:49+00:00	2022-01-15 14:50:39+00:00	2022-01-15 14:55:59+00:00	NSUA_com.apple.Maps					14
2022-01-15 14:50:49+00:00	2022-01-15 14:50:39+00:00	2022-01-15 14:55:59+00:00	NSUA_com.apple.Maps					15
2022-01-15 14:50:49+00:00	2022-01-15 14:50:39+00:00	2022-01-15 14:55:59+00:00	NSUA_com.apple.Maps					16
2022-01-15 14:50:49+00:00	2022-01-15 14:50:39+00:00	2022-01-15 14:55:59+00:00	NSUA_com.apple.Maps					17
2022-01-15 14:50:49+00:00	2022-01-15 14:50:39+00:00	2022-01-15 14:55:59+00:00	NSUA_com.apple.Maps					18
2022-01-15 14:50:49+00:00	2022-01-15 14:50:39+00:00	2022-01-15 14:55:59+00:00	NSUA_com.apple.Maps					19
2022-01-15 14:50:49+00:00	2022-01-15 14:50:39+00:00	2022-01-15 14:55:59+00:00	NSUA_com.apple.Maps					20
2022-01-15 14:50:49+00:00	2022-01-15 14:50:39+00:00	2022-01-15 14:55:59+00:00	NSUA_com.apple.Maps					21
2022-01-15 14:50:49+00:00	2022-01-15 14:50:39+00:00	2022-01-15 14:55:59+00:00	NSUA_com.apple.Maps					22
2022-01-15 14:50:54+00:00	2022-01-15 14:50:39+00:00	2022-01-15 14:55:59+00:00	NSUA_com.apple.Maps					23
